"name"	"boxoffice.total"	"boxoffice.domestic"	"boxoffice.international"	"dvd.domestic"	"budget"	"rating"	"genre"	"creative.type"	"time"	"year"	"production.method"	"sequel"	"boxoffice.domestic.inflationadj"	"budget.millions"	"boxoffice.total.millions"	"revenue.d.budget"
"2055"	"Silent Hill: Revelation 3D"	55975672	17530219	38445453	4239565	20000000	"R"	"Horror"	"Fantasy"	94	2012	"Live Action"	1	18433151	20	55.975672	2.7987836
"2056"	"Spice World"	55947405	29247405	26700000	NA	25000000	"PG"	"Comedy"	"Contemporary Fiction"	NA	1998	"Live Action"	0	52196324	25	55.947405	2.2378962
"2057"	"Why Did I Get Married?"	55934178	55204525	729653	33814016	15000000	"PG-13"	"Romantic Comedy"	"Contemporary Fiction"	NA	2007	"Live Action"	0	67160160	15	55.934178	3.7289452
"2058"	"Cop Out"	55909910	44875481	11034429	14120949	37000000	"R"	"Comedy"	"Contemporary Fiction"	107	2010	"Live Action"	0	47605547	37	55.90991	1.51107864864865
"2059"	"Woman in Gold"	55766926	33307793	22459133	2560379	11000000	"PG-13"	"Drama"	"Contemporary Fiction"	107	2014	"Live Action"	0	33307793	11	55.766926	5.06972054545454
"2060"	"End of Watch"	55763960	41003371	14760589	16090529	15000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	109	2012	"Live Action"	0	43112891	15	55.76396	3.71759733333333
"2061"	"The Animal"	55762229	55762229	0	NA	22000000	"PG-13"	"Comedy"	"Contemporary Fiction"	88	2001	"Live Action"	0	82461106	22	55.762229	2.53464677272727
"2062"	"In Search of Noah's Ark"	55700000	55700000	0	NA	0	NA	NA	NA	NA	1977	NA	0	209062328	0	55.7	Inf
"2063"	"Pay it Forward"	55696705	33508922	22187783	NA	40000000	"PG-13"	"Drama"	"Contemporary Fiction"	NA	2000	"Live Action"	0	51994976	40	55.696705	1.392417625
"2064"	"The Aristocats"	55675257	55675257	0	NA	0	NA	"Musical"	"Kids Fiction"	NA	1970	"Hand Animation"	0	300646391	0	55.675257	Inf
"2065"	"The Craft"	55603049	24703049	30900000	NA	15000000	"R"	"Thriller/Suspense"	"Fantasy"	NA	1996	"Live Action"	0	46779302	15	55.603049	3.70686993333333
"2066"	"The Beverly Hillbillies"	55598481	42222647	13375834	NA	0	"PG"	"Comedy"	"Contemporary Fiction"	NA	1993	"Live Action"	0	85520274	0	55.598481	Inf
"2067"	"Kicking and Screaming"	55580895	52580895	3000000	NA	45000000	"PG"	"Comedy"	"Contemporary Fiction"	95	2005	"Live Action"	0	68658675	45	55.580895	1.235131
"2068"	"Wild Things"	55535344	29753944	25781400	NA	20000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	NA	1998	"Live Action"	0	53100326	20	55.535344	2.7767672
"2069"	"Open Water"	55518641	30500882	25017759	NA	500000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	NA	2004	"Live Action"	0	41109883	0.5	55.518641	111.037282
"2070"	"Lucky Number Slevin"	55495466	22495466	33000000	27011926	27000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	110	2006	"Live Action"	0	28746112	27	55.495466	2.05538762962963
"2071"	"Out of Time"	55489826	41083108	14406718	NA	50000000	"PG-13"	"Thriller/Suspense"	"Contemporary Fiction"	114	2003	"Live Action"	0	57025153	50	55.489826	1.10979652
"2072"	"Never Been Kissed"	55474757	55474757	0	NA	0	"PG-13"	"Romantic Comedy"	"Contemporary Fiction"	107	1999	"Live Action"	0	91393210	0	55.474757	Inf
"2073"	"The Lizzie McGuire Movie"	55472630	42672630	12800000	NA	15000000	"PG"	"Comedy"	"Contemporary Fiction"	NA	2003	"Live Action"	0	59232155	15	55.47263	3.69817533333333
"2074"	"Rugrats Go Wild"	55443032	39402572	16040460	NA	25000000	"PG"	"Adventure"	"Kids Fiction"	NA	2003	"Hand Animation"	1	54689203	25	55.443032	2.21772128
"2075"	"Great Expectations"	55406438	26333044	29073394	NA	0	"R"	"Drama"	"Historical Fiction"	NA	1998	"Live Action"	0	46995223	0	55.406438	Inf
"2076"	"Definitely, Maybe"	55350057	31973840	23376217	13434262	7000000	"PG-13"	"Romantic Comedy"	"Contemporary Fiction"	111	2008	"Live Action"	0	37585318	7	55.350057	7.907151
"2077"	"Police Academy 2: Their First Assignment"	55337042	55337042	0	NA	0	NA	"Comedy"	"Contemporary Fiction"	NA	1985	"Live Action"	1	130470715	0	55.337042	Inf
"2078"	"We Own the Night"	55307857	28563179	26744678	22679711	28000000	"R"	"Drama"	"Contemporary Fiction"	118	2007	"Live Action"	0	34749101	28	55.307857	1.97528060714286
"2079"	"Yi jiu si er"	55287687	212475	55075212	NA	0	"Not Rated"	"Drama"	"Historical Fiction"	151	2012	"Live Action"	0	223412	0	55.287687	Inf
"2080"	"Extremely Loud and Incredibly Close"	55247881	31847881	23400000	9745512	40000000	"PG-13"	"Drama"	"Historical Fiction"	129	2011	"Live Action"	0	33489525	40	55.247881	1.381197025
"2081"	"Chariots of Fire"	55222653	55222653	0	NA	5500000	NA	"Drama"	"Dramatization"	NA	1981	"Live Action"	0	157600848	5.5	55.222653	10.0404823636364
"2082"	"Waking Ned Devine"	55188807	24788807	30400000	NA	3000000	"PG"	"Comedy"	"Contemporary Fiction"	NA	1998	"Live Action"	0	41795829	3	55.188807	18.396269
"2083"	"The Giver"	55090374	45090374	10000000	6260868	25000000	"PG-13"	"Drama"	"Science Fiction"	97	2014	"Live Action"	0	46194172	25	55.090374	2.20361496
"2084"	"She's the Man"	55078079	33687630	21390449	33648752	25000000	"PG-13"	"Romantic Comedy"	"Contemporary Fiction"	105	2006	"Live Action"	0	43048165	25	55.078079	2.20312316
"2085"	"The Motorcycle Diaries"	55029200	16756372	38272828	NA	0	"R"	"Drama"	"Dramatization"	NA	2004	"Live Action"	0	22541297	0	55.0292	Inf
"2086"	"Halloween: H2O"	55004135	55004135	0	NA	17000000	"R"	"Horror"	"Contemporary Fiction"	NA	1998	"Live Action"	1	98163034	17	55.004135	3.23553735294118
"2087"	"Dawn of the Dead"	5.5e+07	5100000	49900000	NA	1500000	NA	"Horror"	NA	NA	1979	"Live Action"	0	17006777	1.5	55	36.6666666666667
"2088"	"Analyze That"	54994757	32122249	22872508	NA	60000000	"R"	"Comedy"	"Contemporary Fiction"	NA	2002	"Live Action"	1	46052041	60	54.994757	0.916579283333333
"2089"	"Beaches"	54849107	54849107	0	NA	0	NA	"Drama"	"Historical Fiction"	NA	1988	"Live Action"	0	116165556	0	54.849107	Inf
"2090"	"St. Vincent"	54837234	44137712	10699522	5210359	13000000	"PG-13"	"Comedy"	"Contemporary Fiction"	102	2014	"Live Action"	0	45202043	13	54.837234	4.21824876923077
"2091"	"Predator 2"	54768418	28317513	26450905	NA	35000000	"R"	"Action"	"Science Fiction"	NA	1990	"Live Action"	1	49637984	35	54.768418	1.56481194285714
"2092"	"The Five-Year Engagement"	54732938	28700285	26032653	5112402	30000000	"R"	"Romantic Comedy"	"Contemporary Fiction"	124	2011	"Live Action"	0	30178562	30	54.732938	1.82443126666667
"2093"	"Ironiya Sudby.  Prodolzhenie"	54700664	0	54700664	NA	0	NA	"Comedy"	"Contemporary Fiction"	NA	2007	"Live Action"	1	NA	0	54.700664	Inf
"2094"	"Shi Lian 33 Tian"	54640000	0	54640000	NA	0	NA	"Romantic Comedy"	"Contemporary Fiction"	110	2011	"Live Action"	0	0	0	54.64	Inf
"2095"	"The Hot Chick"	54639509	35081550	19557959	NA	0	"PG-13"	"Comedy"	"Contemporary Fiction"	101	2002	"Live Action"	0	50025841	0	54.639509	Inf
"2096"	"Qin ai de"	54630000	0	54630000	NA	0	NA	"Drama"	"Contemporary Fiction"	0	2014	"Live Action"	0	0	0	54.63	Inf
"2097"	"Driven"	54616869	32616869	22000000	NA	72000000	"PG-13"	"Action"	"Contemporary Fiction"	NA	2001	"Live Action"	0	48233782	72	54.616869	0.758567625
"2098"	"National Security"	54599300	36288951	18310349	NA	0	"PG-13"	"Action"	"Contemporary Fiction"	NA	2003	"Live Action"	0	50371229	0	54.5993	Inf
"2099"	"Looney Tunes: Back in Action"	54540662	20950820	33589842	NA	80000000	"PG"	"Comedy"	"Kids Fiction"	NA	2003	"Live Action"	0	29070031	80	54.540662	0.681758275
"2100"	"The Punisher"	54440783	33571379	20869404	NA	33000000	"R"	"Action"	"Super Hero"	124	2004	"Live Action"	0	45248379	33	54.440783	1.6497206969697
"2101"	"Doom"	54431250	28031250	26400000	28689950	70000000	"R"	"Horror"	"Science Fiction"	NA	2005	"Live Action"	0	36602429	70	54.43125	0.777589285714286
"2102"	"Spanglish"	54344321	42044321	12300000	NA	75000000	"PG-13"	"Comedy"	"Contemporary Fiction"	133	2004	"Live Action"	0	56204039	75	54.344321	0.724590946666667
"2103"	"No Good Deed"	54323210	52543632	1779578	6177099	13200000	"PG-13"	"Thriller/Suspense"	"Contemporary Fiction"	84	2013	"Live Action"	0	53829889	13.2	54.32321	4.1153946969697
"2104"	"Varsity Blues"	54294169	52894169	1400000	NA	16000000	"R"	"Drama"	"Contemporary Fiction"	NA	1999	"Live Action"	0	87150432	16	54.294169	3.3933855625
"2105"	"Domestic Disturbance"	54207112	45207112	9000000	NA	53000000	"PG-13"	"Thriller/Suspense"	"Contemporary Fiction"	90	2001	"Live Action"	0	66834617	53	54.207112	1.02277569811321
"2106"	"The Verdict"	53977250	53977250	0	NA	16000000	"R"	"Drama"	"Contemporary Fiction"	129	1982	"Live Action"	0	146532920	16	53.97725	3.373578125
"2107"	"Edward Scissorhands"	53976987	53976987	0	NA	20000000	"PG-13"	"Comedy"	"Fantasy"	107	1990	"Live Action"	0	85175062	20	53.976987	2.69884935
"2108"	"Mickey Blue Eyes"	53864342	33864342	20000000	NA	40000000	"PG-13"	"Comedy"	"Contemporary Fiction"	NA	1999	"Live Action"	0	55796169	40	53.864342	1.34660855
"2109"	"The International"	53850527	25450527	28400000	8121188	50000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	NA	2009	"Live Action"	0	28402791	50	53.850527	1.07701054
"2110"	"The Three Stooges"	53801644	44338224	9463420	20662993	30000000	"PG"	"Comedy"	"Contemporary Fiction"	92	2011	"Live Action"	0	46621971	30	53.801644	1.79338813333333
"2111"	"The Borrowers"	53785536	22359293	31426243	NA	29000000	"PG"	"Comedy"	"Fantasy"	NA	1998	"Live Action"	0	39903473	29	53.785536	1.85467365517241
"2112"	"The Messengers"	53774833	35374833	18400000	16269253	16000000	"PG-13"	"Horror"	"Fantasy"	NA	2007	"Live Action"	0	43035954	16	53.774833	3.3609270625
"2113"	"Doc Hollywood"	53732464	53732464	0	NA	0	"PG-13"	"Romantic Comedy"	"Contemporary Fiction"	NA	1991	"Live Action"	0	106826779	0	53.732464	Inf
"2114"	"Rookie of the Year"	53579269	53579269	0	NA	0	"PG"	"Comedy"	"Fantasy"	NA	1993	"Live Action"	0	78596418	0	53.579269	Inf
"2115"	"Stranger Than Fiction"	53572822	40435190	13137632	31104418	30000000	"PG-13"	"Comedy"	"Contemporary Fiction"	105	2006	"Live Action"	0	51670613	30	53.572822	1.78576073333333
"2116"	"Nine"	53508858	19676965	33831893	5480837	80000000	"PG-13"	"Musical"	"Contemporary Fiction"	118	2009	"Live Action"	0	21632315	80	53.508858	0.668860725
"2117"	"The Little Prince"	53487282	0	53487282	NA	77500000	NA	"Adventure"	"Kids Fiction"	0	2015	"Digital Animation"	0	0	77.5	53.487282	0.690158477419355
"2118"	"Bounce"	53425292	36805288	16620004	NA	35000000	"PG-13"	"Drama"	"Contemporary Fiction"	106	2000	"Live Action"	0	57105991	35	53.425292	1.52643691428571
"2119"	"Throw Momma From the Train"	53380796	53380796	0	NA	0	NA	"Comedy"	"Contemporary Fiction"	NA	1987	"Live Action"	0	112628469	0	53.380796	Inf
"2120"	"Sea of Love"	53350495	53350495	0	NA	19000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	113	1989	"Live Action"	0	111915697	19	53.350495	2.80792078947368
"2121"	"Madea's Big Happy Family"	53345287	53345287	0	11188582	0	"PG-13"	"Drama"	"Contemporary Fiction"	106	2011	"Live Action"	0	56305174	0	53.345287	Inf
"2122"	"Radio"	53293628	52333738	959890	NA	35000000	"PG"	"Drama"	"Dramatization"	111	2003	"Live Action"	0	72545125	35	53.293628	1.52267508571429
"2123"	"Papillon"	53267000	53267000	0	NA	0	NA	"Drama"	"Dramatization"	NA	1973	"Live Action"	0	251889709	0	53.267	Inf
"2124"	"Hollywood Adventures"	53246837	0	53246837	NA	0	NA	"Action"	"Contemporary Fiction"	0	2015	"Live Action"	NA	0	0	53.246837	Inf
"2125"	"Arachnophobia"	53208180	53208180	0	NA	31000000	"PG-13"	"Thriller/Suspense"	"Science Fiction"	105	1990	"Live Action"	0	89360547	31	53.20818	1.71639290322581
"2126"	"Doubt"	53191101	33446470	19744631	14118590	20000000	"PG-13"	"Drama"	"Historical Fiction"	NA	2008	"Live Action"	0	38256633	20	53.191101	2.65955505
"2127"	"Pitch Black"	53182088	39235088	13947000	NA	23000000	"R"	"Horror"	"Science Fiction"	107	2000	"Live Action"	0	60927214	23	53.182088	2.31226469565217
"2128"	"From Paris With Love"	53139168	24077427	29061741	15841359	52000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	NA	2009	"Live Action"	0	25542210	52	53.139168	1.02190707692308
"2129"	"That Awkward Moment"	53068955	26068955	27000000	2951721	8000000	"R"	"Romantic Comedy"	"Contemporary Fiction"	94	2013	"Live Action"	0	26707113	8	53.068955	6.633619375
"2130"	"Wickie und die starken Männer"	53049987	0	53049987	NA	0	NA	NA	NA	NA	2009	NA	0	NA	0	53.049987	Inf
"2131"	"Konferenz der Tiere"	53048539	0	53048539	NA	30000000	"PG"	"Adventure"	"Kids Fiction"	93	2010	"Digital Animation"	0	0	30	53.048539	1.76828463333333
"2132"	"To the Limit"	5.3e+07	53000000	0	NA	0	"Not Rated"	"Documentary"	"Factual"	NA	1989	"Live Action"	0	111180451	0	53	Inf
"2133"	"The Sinking of Japan"	5.3e+07	0	53000000	NA	0	NA	NA	NA	NA	2006	NA	0	NA	0	53	Inf
"2134"	"Suspect X"	5.3e+07	0	53000000	NA	0	NA	NA	NA	NA	2008	NA	0	NA	0	53	Inf
"2135"	"My Cousin Vinny"	52929168	52929168	0	NA	11000000	"R"	"Comedy"	"Contemporary Fiction"	NA	1992	"Live Action"	0	92695867	11	52.929168	4.81174254545455
"2136"	"Outrageous Fortune"	52864741	52864741	0	NA	0	NA	"Comedy"	"Contemporary Fiction"	NA	1987	"Live Action"	0	101851559	0	52.864741	Inf
"2137"	"Pooh's Heffalump Movie"	52858433	18098433	34760000	NA	20000000	"G"	"Adventure"	"Kids Fiction"	NA	2005	"Hand Animation"	0	23610481	20	52.858433	2.64292165
"2138"	"Message in a Bottle"	52799004	52799004	0	NA	30000000	"PG-13"	"Drama"	"Contemporary Fiction"	NA	1999	"Live Action"	0	86993637	30	52.799004	1.7599668
"2139"	"Pet Sematary"	52795778	52795778	0	NA	11500000	NA	"Horror"	"Fantasy"	NA	1989	"Live Action"	0	110752049	11.5	52.795778	4.5909372173913
"2140"	"The Recruit"	52784696	52784696	0	NA	0	"PG-13"	"Thriller/Suspense"	"Contemporary Fiction"	NA	2003	"Live Action"	0	73268310	0	52.784696	Inf
"2141"	"Choi-jong-byeong-gi-hwal"	52760691	40685	52720006	NA	0	"R"	"Action"	"Historical Fiction"	128	2011	"Live Action"	0	42938	0	52.760691	Inf
"2142"	"American Gigolo"	52743674	22743674	30000000	NA	0	NA	"Drama"	"Contemporary Fiction"	NA	1980	"Live Action"	0	22743674	0	52.743674	Inf
"2143"	"The Odd Life of Timothy Green"	52685425	51853450	831975	15701689	40000000	"PG"	"Drama"	"Fantasy"	104	2011	"Live Action"	0	54524088	40	52.685425	1.317135625
"2144"	"La Bamba"	52678820	52678820	0	NA	6500000	NA	"Drama"	"Dramatization"	NA	1987	"Live Action"	0	112767704	6.5	52.67882	8.10443384615385
"2145"	"Untraceable"	52649951	28687835	23962116	20857089	35000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	NA	2008	"Live Action"	0	33442502	35	52.649951	1.50428431428571
"2146"	"Beethoven's 2nd"	52636940	52636940	0	NA	0	"PG"	"Comedy"	"Contemporary Fiction"	NA	1993	"Live Action"	1	82707736	0	52.63694	Inf
"2147"	"The Roommate"	52545707	37300107	15245600	5469222	16000000	"PG-13"	"Thriller/Suspense"	"Contemporary Fiction"	91	2010	"Live Action"	0	39369718	16	52.545707	3.2841066875
"2148"	"Tyler Perry's A Madea Christmas"	52543354	52543354	0	12305749	25000000	"PG-13"	"Comedy"	"Contemporary Fiction"	100	2013	"Live Action"	0	54082763	25	52.543354	2.10173416
"2149"	"Wild"	52501541	37880356	14621185	5102552	15000000	"R"	"Drama"	"Dramatization"	119	2014	"Live Action"	0	38513911	15	52.501541	3.50010273333333
"2150"	"Big Fat Liar"	52461017	47811275	4649742	NA	15000000	"PG"	"Comedy"	"Contemporary Fiction"	NA	2002	"Live Action"	0	68877860	15	52.461017	3.49740113333333
"2151"	"An Inconvenient Truth"	52438751	23814997	28623754	31629455	1000000	"PG"	"Documentary"	"Factual"	NA	2006	"Live Action"	0	30432290	1	52.438751	52.438751
"2152"	"The Boy Next Door"	52426530	35423380	17003150	4733122	4000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	90	2014	"Live Action"	0	35423380	4	52.42653	13.1066325
"2153"	"Unlawful Entry"	52404352	52404352	0	NA	0	"R"	"Thriller/Suspense"	"Contemporary Fiction"	NA	1992	"Live Action"	0	105692635	0	52.404352	Inf
"2154"	"Le Petit Nicolas"	52339566	201857	52137709	NA	30000000	NA	"Comedy"	"Kids Fiction"	91	2009	"Live Action"	0	214130	30	52.339566	1.7446522
"2155"	"Ordinary People"	52302978	52302978	0	NA	6000000	NA	"Drama"	"Contemporary Fiction"	NA	1980	"Live Action"	0	52302978	6	52.302978	8.717163
"2156"	"Stand by Me"	52287414	52287414	0	NA	8000000	NA	"Drama"	"Historical Fiction"	NA	1986	"Live Action"	0	106850164	8	52.287414	6.53592675
"2157"	"One Hour Photo"	52223306	31597131	20626175	NA	12000000	"R"	"Drama"	"Contemporary Fiction"	NA	2002	"Live Action"	0	45518839	12	52.223306	4.35194216666667
"2158"	"10"	52134699	52134699	0	NA	0	NA	"Romantic Comedy"	"Contemporary Fiction"	NA	1979	"Live Action"	0	52134699	0	52.134699	Inf
"2159"	"South Park: Bigger, Longer & Uncut"	52037603	52037603	0	NA	21000000	"R"	"Comedy"	"Contemporary Fiction"	81	1999	"Live Action"	0	85690821	21	52.037603	2.47798109523809
"2160"	"Tyler Perry's Temptation"	51975354	51975354	0	12516518	0	"PG-13"	"Drama"	"Contemporary Fiction"	111	2012	"Live Action"	0	53509678	0	51.975354	Inf
"2161"	"Lawless"	51932335	37397291	14535044	16338212	26000000	"R"	"Drama"	"Historical Fiction"	115	2011	"Live Action"	0	39323532	26	51.932335	1.9973975
"2162"	"Sinister 2"	51911936	27703608	24208328	NA	10000000	"R"	"Horror"	"Fantasy"	97	2015	"Live Action"	1	27703608	10	51.911936	5.1911936
"2163"	"Hanging Up"	51867723	36037909	15829814	NA	40000000	"PG-13"	"Comedy"	"Contemporary Fiction"	94	2000	"Live Action"	0	55962389	40	51.867723	1.296693075
"2164"	"I Can Do Bad All By Myself"	51733921	51733921	0	19657313	19000000	"PG-13"	"Comedy"	"Contemporary Fiction"	NA	2009	"Live Action"	0	57735055	19	51.733921	2.72283794736842
"2165"	"Maximum Risk"	51639438	14039438	37600000	NA	25000000	"R"	"Action"	"Contemporary Fiction"	NA	1996	"Live Action"	0	26585991	25	51.639438	2.06557752
"2166"	"Blue Crush"	51618420	40118420	11500000	NA	30000000	"PG-13"	"Drama"	"Contemporary Fiction"	NA	2002	"Live Action"	0	57795386	30	51.61842	1.720614
"2167"	"Amadeus"	51564280	51564280	0	NA	18000000	"R"	"Drama"	"Dramatization"	NA	1984	"Live Action"	0	124057051	18	51.56428	2.86468222222222
"2168"	"Daybreakers"	51445503	30101577	21343926	13796622	20000000	"R"	"Horror"	"Science Fiction"	NA	2010	"Live Action"	0	31932847	20	51.445503	2.57227515
"2169"	"Sicario"	51420093	34720093	16700000	NA	30000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	121	2015	"Live Action"	0	34720093	30	51.420093	1.7140031
"2170"	"Mortal Kombat: Annihilation"	51327406	35927406	15400000	NA	30000000	"PG-13"	"Action"	"Fantasy"	NA	1997	"Live Action"	1	65480954	30	51.327406	1.71091353333333
"2171"	"RoboCop"	51327050	51327050	0	NA	13000000	NA	"Action"	"Science Fiction"	NA	1987	"Live Action"	0	109874020	13	51.32705	3.94823461538462
"2172"	"Awakenings"	51306865	51306865	0	NA	0	"PG-13"	"Drama"	"Dramatization"	NA	1990	"Live Action"	0	102416475	0	51.306865	Inf
"2173"	"Hooper"	51290536	51290536	0	NA	0	NA	"Action"	"Contemporary Fiction"	NA	1978	"Live Action"	0	183462298	0	51.290536	Inf
"2174"	"Fargo"	51184363	24547547	26636816	NA	7000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	95	1996	"Live Action"	0	46447532	7	51.184363	7.31205185714286
"2175"	"Bodyguard"	51119758	1834384	49285374	NA	0	"Not Rated"	"Action"	"Contemporary Fiction"	132	2011	"Live Action"	0	1936165	0	51.119758	Inf
"2176"	"Hollywood Homicide"	51107785	30207785	20900000	NA	75000000	"PG-13"	"Action"	"Contemporary Fiction"	115	2003	"Live Action"	0	41930210	75	51.107785	0.681437133333333
"2177"	"Silver Streak"	51079064	51079064	0	NA	0	NA	NA	NA	NA	1976	NA	0	200719137	0	51.079064	Inf
"2178"	"The Family"	51078541	36918811	14159730	9454659	30000000	"R"	"Black Comedy"	"Contemporary Fiction"	111	2013	"Live Action"	0	38008655	30	51.078541	1.70261803333333
"2179"	"The Gift"	51065786	43787265	7278521	NA	5000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	108	2015	"Live Action"	0	43787265	5	51.065786	10.2131572
"2180"	"Oh, God!"	51061196	51061196	0	NA	0	NA	"Comedy"	"Fantasy"	NA	1977	"Live Action"	0	51061196	0	51.061196	Inf
"2181"	"All the President's Men"	51048435	51048435	0	NA	0	NA	"Drama"	NA	NA	1976	"Live Action"	0	200598776	0	51.048435	Inf
"2182"	"Las aventuras de Tadeo Jones"	51031724	0	51031724	63177	0	NA	"Adventure"	"Kids Fiction"	90	2012	"Digital Animation"	0	0	0	51.031724	Inf
"2183"	"The Spy Next Door"	50983364	24307106	26676258	9152849	28000000	"PG"	"Comedy"	"Kids Fiction"	NA	2009	"Live Action"	0	25785861	28	50.983364	1.82083442857143
"2184"	"Enough"	50970660	39177215	11793445	NA	38000000	"PG-13"	"Thriller/Suspense"	"Contemporary Fiction"	NA	2002	"Live Action"	0	56439462	38	50.97066	1.34133315789474
"2185"	"Bull Durham"	50888729	50888729	0	NA	0	NA	"Drama"	"Contemporary Fiction"	NA	1988	"Live Action"	0	73953595	0	50.888729	Inf
"2186"	"College Road Trip"	50873923	45610425	5263498	19220110	0	"G"	"Comedy"	"Contemporary Fiction"	82	2008	"Live Action"	0	53169814	0	50.873923	Inf
"2187"	"Naked Gun 33 1/3: The Final Insult"	50825302	50825302	0	NA	30000000	"PG-13"	"Comedy"	"Contemporary Fiction"	NA	1994	"Live Action"	1	104266613	30	50.825302	1.69417673333333
"2188"	"Coco avant Chanel"	50813834	6113834	44700000	NA	23000000	"PG-13"	"Drama"	"Dramatization"	NA	2009	"Live Action"	0	6816628	23	50.813834	2.20929713043478
"2189"	"You Got Served"	50811858	40066497	10745361	NA	8000000	"PG-13"	"Drama"	"Contemporary Fiction"	NA	2004	"Live Action"	0	54002671	8	50.811858	6.35148225
"2190"	"A Bridge Too Far"	50800000	50800000	0	NA	26000000	NA	"Action"	NA	NA	1977	"Live Action"	0	190670852	26	50.8	1.95384615384615
"2191"	"Gekijouban Pokketo monsutâ Besuto wisshu: Pikutini to kuroku eiyuu Zekuromu"	50776443	0	50776443	NA	0	NA	NA	NA	0	2011	NA	0	NA	0	50.776443	Inf
"2192"	"Feng Bao"	50770000	0	50770000	NA	0	NA	"Action"	"Contemporary Fiction"	108	2013	"Live Action"	NA	0	0	50.77	Inf
"2193"	"Hable con ella"	50768280	9284265	41484015	NA	0	"R"	"Drama"	"Contemporary Fiction"	NA	2002	"Live Action"	0	12957463	0	50.76828	Inf
"2194"	"August:  Osage County"	50738810	37738810	13000000	7449466	25000000	"R"	"Black Comedy"	"Contemporary Fiction"	119	2010	"Live Action"	0	38665064	25	50.73881	2.0295524
"2195"	"Sea Monsters: A Prehistoric Adventure"	50728163	23746066	26982097	NA	0	"Not Rated"	"Documentary"	"Factual"	40	2007	"Live Action"	0	27745730	0	50.728163	Inf
"2196"	"Elizabethtown"	50719373	26850426	23868947	15902214	54000000	"PG-13"	"Drama"	"Contemporary Fiction"	NA	2005	"Live Action"	0	35044822	54	50.719373	0.939247648148148
"2197"	"Bonnie and Clyde"	50700000	50700000	0	NA	0	"R"	"Drama"	"Dramatization"	NA	1967	"Live Action"	0	353632500	0	50.7	Inf
"2198"	"Boyhood"	50689197	25379975	25309222	3340534	4000000	"R"	"Drama"	"Contemporary Fiction"	164	2014	"Live Action"	0	25974814	4	50.689197	12.67229925
"2199"	"The Deep"	50681884	50681884	0	NA	0	NA	"Thriller/Suspense"	"Contemporary Fiction"	NA	1977	"Live Action"	0	50681884	0	50.681884	Inf
"2200"	"Bride of Chucky"	50656960	32368960	18288000	NA	25000000	"R"	"Horror"	"Fantasy"	NA	1998	"Live Action"	1	57767204	25	50.65696	2.0262784
"2201"	"Meet Dave"	50648806	11803254	38845552	NA	60000000	"PG"	"Comedy"	"Science Fiction"	90	2008	"Live Action"	0	13759502	60	50.648806	0.844146766666667
"2202"	"The Crow"	50638075	50638075	0	NA	0	"R"	"Action"	"Fantasy"	NA	1994	"Live Action"	0	87563751	0	50.638075	Inf
"2203"	"Mighty Joe Young"	50628009	50628009	0	NA	80000000	"PG"	"Adventure"	"Science Fiction"	NA	1998	"Live Action"	0	87273195	80	50.628009	0.6328501125
"2204"	"Notes on a Scandal"	50578411	17510118	33068293	8984051	27500000	"R"	"Drama"	"Contemporary Fiction"	NA	2006	"Live Action"	0	21348740	27.5	50.578411	1.83921494545455
"2205"	"The Love Bug"	50576808	50576808	0	NA	0	NA	NA	NA	NA	1969	NA	0	298118224	0	50.576808	Inf
"2206"	"Nowhere to Run"	50570994	20570994	30000000	NA	15000000	"R"	"Action"	"Contemporary Fiction"	NA	1993	"Live Action"	0	41589182	15	50.570994	3.3713996
"2207"	"Sneakers"	50560948	50560948	0	NA	0	"PG-13"	"Action"	"Contemporary Fiction"	NA	1992	"Live Action"	0	101974732	0	50.560948	Inf
"2208"	"The Texas Chainsaw Massacre: The Beginning"	50517763	39517763	11000000	29517435	16000000	"R"	"Horror"	"Historical Fiction"	NA	2006	"Live Action"	1	50497574	16	50.517763	3.1573601875
"2209"	"Eddie Murphy Raw"	50504655	50504655	0	NA	0	NA	"Concert/Performance"	"Factual"	NA	1987	"Live Action"	0	96878640	0	50.504655	Inf
"2210"	"Diary of a Mad Black Woman"	50458356	50406346	52010	NA	5500000	"PG-13"	"Drama"	"Contemporary Fiction"	NA	2005	"Live Action"	0	65787581	5.5	50.458356	9.17424654545455
"2211"	"About Last Night"	50445860	48637684	1808176	4786265	13000000	"R"	"Romantic Comedy"	"Contemporary Fiction"	100	2014	"Live Action"	0	49828317	13	50.44586	3.88045076923077
"2212"	"The Nightmare Before Christmas"	50408318	50408318	0	NA	0	"PG"	"Musical"	"Fantasy"	NA	1993	"Stop-Motion Animation"	0	99682515	0	50.408318	Inf
